144,38,59,3.75,17.000000000000107
176,10,82,17.050000000000107
144,52,92,3.75,17.050000000000107
144,69,0,0.0001,17.20000000000011
176,10,83,17.20000000000011
144,71,0,0.0001,17.35000000000011
176,10,41,17.35000000000011
144,41,37,5.625,17.35000000000011
144,71,0,0.0001,17.600000000000115
144,72,0,0.0001,17.700000000000117
144,67,0,0.0001,17.750000000000117
144,59,0,0.0001,17.800000000000118
144,36,0,0.0001,17.800000000000118
144,38,0,0.0001,17.95000000000012
176,10,50,18.150000000000123
144,36,74,7.5,18.150000000000123
176,10,92,18.200000000000124
144,84,114,5.625,18.200000000000124
176,10,91,18.350000000000126
144,86,117,5.625,18.350000000000126
176,10,57,18.350000000000126
176,10,37,18.350000000000126
144,60,37,7.5,18.350000000000126
144,62,0,0.0001,18.450000000000127
144,57,0,0.0001,18.500000000000128
176,10,43,18.500000000000128
144,52,80,7.5,18.500000000000128
176,10,61,18.70000000000013
144,59,78,0.9375,18.70000000000013
176,10,57,18.75000000000013
144,79,60,1.875,18.75000000000013
176,10,61,18.900000000000134
144,36,0,0.0001,19.100000000000136
176,10,46,19.100000000000136
144,72,0,0.0001,19.150000000000137
144,72,0,0.0001,19.200000000000138
176,10,43,19.200000000000138
144,69,0,0.0001,19.25000000000014
176,10,59,19.30000000000014
144,65,54,1.875,19.30000000000014
144,74,0,0.0001,19.40000000000014
144,52,0,0.0001,19.45000000000014
176,10,52,19.500000000000142
144,41,44,1.875,19.500000000000142
176,10,47,19.600000000000144
176,10,46,19.600000000000144
144,35,47,11.25,19.600000000000144
144,59,0,0.0001,19.650000000000144
144,81,0,0.0001,19.650000000000144
176,10,84,19.700000000000145
144,81,95,7.5,19.700000000000145
144,100,0,0.0001,19.850000000000147
144,64,0,0.0001,19.850000000000147
176,10,85,19.850000000000147
176,10,54,19.900000000000148
144,43,93,5.625,19.900000000000148
176,10,55,19.900000000000148
